bird,abundance,img,ebird,wikipedia,allaboutbirds,migration,recording,tags,male,female,winter,early spring,late spring,summer,post breeding,early fall,late fall,recording_embed_link
Cattle Egret,-XRXXX-,https://upload.wikimedia.org/wikipedia/commons/b/b8/Cattle_Egret_%2844750698191%29.jpg,https://ebird.org/species/categr,https://en.wikipedia.org/wiki/Cattle_egret,https://www.allaboutbirds.org/guide/Cattle_Egret/overview,https://www.allaboutbirds.org/guide/assets/photo/24987541-1280px.jpg,https://macaulaylibrary.org/asset/278709,,,,,6 - extremely rare,5 - rare,6 - extremely rare,6 - extremely rare,6 - extremely rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/278709/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Green Heron,-XFFFFR,https://upload.wikimedia.org/wikipedia/commons/f/f3/Butorides_virescens2.jpg,https://ebird.org/species/grnher/,https://en.wikipedia.org/wiki/Green_heron,https://www.allaboutbirds.org/guide/Green_Heron/overview,https://www.allaboutbirds.org/guide/assets/photo/32307751-1280px.jpg,https://macaulaylibrary.org/asset/28887711,,,,,6 - extremely rare,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/28887711/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Black-crowned Night-Heron,XRRUURX,https://upload.wikimedia.org/wikipedia/commons/2/27/BCNH_CMCNJ_for_Wiki.png,https://ebird.org/species/bcnher,https://en.wikipedia.org/wiki/Black-crowned_night_heron,https://www.allaboutbirds.org/guide/Black-crowned_Night-Heron/overview,https://www.allaboutbirds.org/guide/assets/photo/31504691-1280px.jpg,https://macaulaylibrary.org/asset/170695891,,,,6 - extremely rare,5 - rare,5 - rare,4 - uncommon,4 - uncommon,5 - rare,6 - extremely rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/170695891/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Turkey Vulture,XUFUUFR,https://upload.wikimedia.org/wikipedia/commons/7/78/Cathartes_aura_-Santa_Teresa_County_Park%2C_San_Jose%2C_California%2C_USA_-adult-8a.jpg,https://ebird.org/species/turvul,https://en.wikipedia.org/wiki/Turkey_vulture,https://www.allaboutbirds.org/guide/Turkey_Vulture/overview,https://www.allaboutbirds.org/guide/assets/photo/31755791-1280px.jpg,https://macaulaylibrary.org/asset/199905751,,,,6 - extremely rare,4 - uncommon,3 - fairly common,4 - uncommon,4 - uncommon,3 - fairly common,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/199905751/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Osprey,-RUUUUR,https://upload.wikimedia.org/wikipedia/commons/0/01/2010-kabini-osprey.jpg,https://ebird.org/species/osprey,https://en.wikipedia.org/wiki/Osprey,https://www.allaboutbirds.org/guide/Osprey/overview,https://www.allaboutbirds.org/guide/assets/photo/137797491-1280px.jpg,https://macaulaylibrary.org/asset/34075051,,,,,5 - rare,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/34075051/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Golden Eagle,-----XX,https://upload.wikimedia.org/wikipedia/commons/4/4b/%D0%91%D0%B5%D1%80%D0%BA%D1%83%D1%82_%28Aquila_chrysaetos%29.jpg,https://ebird.org/species/goleag,https://en.wikipedia.org/wiki/Golden_eagle,https://www.allaboutbirds.org/guide/Golden_Eagle/id,https://www.allaboutbirds.org/guide/assets/photo/32273781-1280px.jpg,https://macaulaylibrary.org/asset/202143881,,,,,,,,,6 - extremely rare,6 - extremely rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/202143881/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Northern Harrier,UURXXUU,https://upload.wikimedia.org/wikipedia/commons/c/c8/Northern_%28Hen%29_Harrier.jpg,https://ebird.org/species/norhar2,https://en.wikipedia.org/wiki/Northern_harrier,https://www.allaboutbirds.org/guide/Northern_Harrier/id,https://www.allaboutbirds.org/guide/assets/photo/31722201-1280px.jpg,https://macaulaylibrary.org/asset/247994031,,,,4 - uncommon,4 - uncommon,5 - rare,6 - extremely rare,6 - extremely rare,4 - uncommon,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/247994031/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Sharp-shinned Hawk,RUU--FU,https://upload.wikimedia.org/wikipedia/commons/c/c9/Accipiter_striatus%2C_Canet_Road%2C_San_Luis_Obispo_1.jpg,https://ebird.org/species/shshaw/,https://en.wikipedia.org/wiki/Sharp-shinned_hawk,https://www.allaboutbirds.org/guide/Sharp-shinned_Hawk/id,https://www.allaboutbirds.org/guide/assets/photo/31914321-1280px.jpg,https://macaulaylibrary.org/asset/91176131,,,,5 - rare,4 - uncommon,4 - uncommon,,,3 - fairly common,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/91176131/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Cooper's Hawk,UFUUUFU,https://upload.wikimedia.org/wikipedia/commons/a/a9/Cooper%27s_Hawk_on_Seedskadee_National_Wildlife_Refuge_%2826108620533%29.jpg,https://ebird.org/species/coohaw,https://en.wikipedia.org/wiki/Cooper's_hawk,https://www.allaboutbirds.org/guide/coopers_hawk/id,https://www.allaboutbirds.org/guide/assets/photo/31504731-1280px.jpg,https://macaulaylibrary.org/asset/109074,,,,4 - uncommon,3 - fairly common,4 - uncommon,4 - uncommon,4 - uncommon,3 - fairly common,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/109074/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Northern Goshawk,XR----R,https://upload.wikimedia.org/wikipedia/commons/8/81/Northern_Goshawk_ad_M2.jpg,https://ebird.org/species/norgos,https://en.wikipedia.org/wiki/Northern_goshawk,https://www.allaboutbirds.org/guide/Northern_Goshawk/id,https://www.allaboutbirds.org/guide/assets/photo/31754261-1280px.jpg,https://macaulaylibrary.org/asset/166822011,,,,6 - extremely rare,5 - rare,,,,,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/166822011/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Bald Eagle,URRRRRU,https://upload.wikimedia.org/wikipedia/commons/1/1a/About_to_Launch_%2826075320352%29.jpg,https://ebird.org/species/baleag,https://en.wikipedia.org/wiki/Bald_eagle,https://www.allaboutbirds.org/guide/bald_eagle/id,https://ebird.org/species/baleag,https://macaulaylibrary.org/asset/200943,,,,4 - uncommon,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/200943/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Red-shouldered Hawk,XXR--RU,https://upload.wikimedia.org/wikipedia/commons/6/62/Red-shouldered_Hawk_%28Buteo_lineatus%29_-_Blue_Cypress_Lake%2C_Florida.jpg,https://ebird.org/species/reshaw,https://en.wikipedia.org/wiki/Red-shouldered_hawk,https://www.allaboutbirds.org/guide/Red-shouldered_Hawk/id,https://www.allaboutbirds.org/guide/assets/photo/32257721-1280px.jpg,https://macaulaylibrary.org/asset/229090,,,,6 - extremely rare,6 - extremely rare,5 - rare,,,5 - rare,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/229090/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Broad-winged Hawk,--URRFR,https://upload.wikimedia.org/wikipedia/commons/9/99/Julie_Waters_broad_winged_hawk.JPG,https://ebird.org/species/brwhaw,https://en.wikipedia.org/wiki/Broad-winged_hawk,https://www.allaboutbirds.org/guide/Broad-winged_Hawk/id,https://www.allaboutbirds.org/guide/assets/photo/25194071-1280px.jpg,https://macaulaylibrary.org/asset/4308,,,,,,4 - uncommon,5 - rare,5 - rare,3 - fairly common,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/4308/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Red-tailed Hawk,CCCFFCC,https://upload.wikimedia.org/wikipedia/commons/5/51/Buteo_jamaicensis_-John_Heinz_National_Wildlife_Refuge_at_Tinicum%2C_Pennsylvania%2C_USA-8.jpg,https://ebird.org/species/rethaw,https://en.wikipedia.org/wiki/Red-tailed_hawk,https://www.allaboutbirds.org/guide/Red-tailed_Hawk/id,https://www.allaboutbirds.org/guide/assets/photo/31503941-1280px.jpg,https://ebird.org/species/rethaw,,,,2 - common,2 - common,2 - common,3 - fairly common,3 - fairly common,2 - common,2 - common,"<iframe width=""640"" height=""360"" src=""https://ebird.org/species/rethaw/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Rough-legged Hawk,RR----R,https://upload.wikimedia.org/wikipedia/commons/e/e4/Buteo_lagopus_29283.JPG,https://ebird.org/species/rolhaw,https://en.wikipedia.org/wiki/Rough-legged_buzzard,https://www.allaboutbirds.org/guide/Rough-legged_Hawk/id,https://www.allaboutbirds.org/guide/assets/photo/31919711-1280px.jpg,https://macaulaylibrary.org/asset/203915941,,,,5 - rare,5 - rare,,,,,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/203915941/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Eastern Screech-Owl,FFURRRU,https://upload.wikimedia.org/wikipedia/commons/3/3d/Eastern_Screech_Owl.jpg,https://ebird.org/species/easowl1/,https://en.wikipedia.org/wiki/Eastern_screech_owl,https://www.allaboutbirds.org/guide/Eastern_Screech-Owl/id,https://www.allaboutbirds.org/guide/assets/photo/32267961-1280px.jpg,https://macaulaylibrary.org/asset/168804731,,,,3 - fairly common,3 - fairly common,4 - uncommon,5 - rare,5 - rare,5 - rare,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/168804731/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Great Horned Owl,FFFUUUF,https://upload.wikimedia.org/wikipedia/commons/2/23/Bubo_virginianus_06.jpg,https://ebird.org/species/grhowl,https://en.wikipedia.org/wiki/Great_horned_owl,https://www.allaboutbirds.org/guide/Great_Horned_Owl/overview,https://www.allaboutbirds.org/guide/assets/photo/25036171-1280px.jpg,https://macaulaylibrary.org/asset/132729861,,,,3 - fairly common,3 - fairly common,3 - fairly common,4 - uncommon,4 - uncommon,4 - uncommon,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/132729861/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Barred Owl,URR---R,https://upload.wikimedia.org/wikipedia/commons/3/3c/Strix-varia-005.jpg,https://ebird.org/species/brdowl/,https://en.wikipedia.org/wiki/Barred_owl,https://www.allaboutbirds.org/guide/Barred_Owl/id,https://www.allaboutbirds.org/guide/assets/photo/31916191-1280px.jpg,https://macaulaylibrary.org/asset/93169341,,,,4 - uncommon,5 - rare,5 - rare,,,,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/93169341/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Long-eared Owl,URX---R,https://upload.wikimedia.org/wikipedia/commons/e/ef/Asio_otus_1_%28Martin_Mecnarowski%29.jpg,https://ebird.org/species/loeowl,https://en.wikipedia.org/wiki/Long-eared_owl,https://www.allaboutbirds.org/guide/Long-eared_Owl/id,https://www.allaboutbirds.org/guide/assets/photo/32319951-1280px.jpg,https://macaulaylibrary.org/asset/49057,,,,4 - uncommon,5 - rare,6 - extremely rare,,,,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/49057/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Short-eared Owl,UXX---R,https://upload.wikimedia.org/wikipedia/commons/6/61/Short_eared_owl_kuwait_by_irvin_calicut_DSCN0576.jpg,https://ebird.org/species/sheowl,https://en.wikipedia.org/wiki/Short-eared_owl,https://www.allaboutbirds.org/guide/Short-eared_Owl/id,https://www.allaboutbirds.org/guide/assets/photo/31504491-1280px.jpg,https://ebird.org/species/sheowl,,,,4 - uncommon,6 - extremely rare,6 - extremely rare,,,,5 - rare,"<iframe width=""640"" height=""360"" src=""https://ebird.org/species/sheowl/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Northern Saw-whet Owl,RX----R,https://upload.wikimedia.org/wikipedia/commons/3/39/Aegolius_acadicus_-Fossil%2C_Oregon%2C_USA_-juvenile-8.jpg,https://ebird.org/species/nswowl,https://en.wikipedia.org/wiki/Northern_saw-whet_owl,https://www.allaboutbirds.org/guide/Northern_Saw-whet_Owl/id,https://www.allaboutbirds.org/guide/assets/photo/32322881-1280px.jpg,https://macaulaylibrary.org/asset/42199,,,,5 - rare,6 - extremely rare,,,,,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/42199/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Belted Kingfisher,RFFUUFU,https://upload.wikimedia.org/wikipedia/commons/8/8f/Belted_Kingfisher.jpg,https://ebird.org/species/belkin1,https://en.wikipedia.org/wiki/Belted_kingfisher,https://www.allaboutbirds.org/guide/Belted_Kingfisher/id,https://www.allaboutbirds.org/guide/assets/photo/31955671-1280px.jpg,https://macaulaylibrary.org/asset/105632,,,,5 - rare,3 - fairly common,3 - fairly common,4 - uncommon,4 - uncommon,3 - fairly common,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/105632/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Yellow-bellied Sapsucker,XUU--UU,https://upload.wikimedia.org/wikipedia/commons/b/b3/Sphyrapicus_varius.jpg,https://ebird.org/species/yebsap,https://en.wikipedia.org/wiki/Yellow-bellied_sapsucker,https://www.allaboutbirds.org/guide/Yellow-bellied_Sapsucker/id,https://www.allaboutbirds.org/guide/assets/photo/31920831-1280px.jpg,https://macaulaylibrary.org/asset/132198,,,,6 - extremely rare,4 - uncommon,4 - uncommon,,,4 - uncommon,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/132198/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Red-headed Woodpecker,XRUUUUR,https://upload.wikimedia.org/wikipedia/commons/a/ac/Melanerpes_erythrocephalus_-tree_trunk-USA.jpg,https://ebird.org/species/rehwoo,https://en.wikipedia.org/wiki/Red-headed_woodpecker,https://www.allaboutbirds.org/guide/Red-headed_Woodpecker/id,https://www.allaboutbirds.org/guide/assets/photo/25036821-1280px.jpg,https://macaulaylibrary.org/asset/105406,,,,6 - extremely rare,5 - rare,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/105406/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Red-bellied Woodpecker,FFFFFFF,,https://ebird.org/species/rebwoo,https://en.wikipedia.org/wiki/Red-bellied_woodpecker,https://www.allaboutbirds.org/guide/Red-bellied_Woodpecker/id,https://www.allaboutbirds.org/guide/assets/photo/34470651-1280px.jpg,https://macaulaylibrary.org/asset/105714,,https://upload.wikimedia.org/wikipedia/commons/1/12/Red-bellied_Woodpecker-27527.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a8/Red-bellied_Woodpecker_Female.jpg,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/105714/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Downy Woodpecker,CCCCCCC,,https://ebird.org/species/dowwoo,https://en.wikipedia.org/wiki/Downy_woodpecker,https://www.allaboutbirds.org/guide/Downy_Woodpecker/id,https://www.allaboutbirds.org/guide/assets/photo/32267171-1280px.jpg,https://macaulaylibrary.org/asset/75518341,,https://upload.wikimedia.org/wikipedia/commons/2/20/Downy_Woodpecker01.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c1/FemaleDownyWoodpecker.jpg,2 - common,2 - common,2 - common,2 - common,2 - common,2 - common,2 - common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/75518341/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Hairy Woodpecker,FUUUUUU,,https://ebird.org/species/haiwoo,https://en.wikipedia.org/wiki/Hairy_woodpecker,https://www.allaboutbirds.org/guide/Hairy_Woodpecker/id,https://www.allaboutbirds.org/guide/assets/photo/31947571-1280px.jpg,https://macaulaylibrary.org/asset/211302481,,https://upload.wikimedia.org/wikipedia/commons/1/1f/Picoides-villosus-001.jpg,https://upload.wikimedia.org/wikipedia/commons/9/95/Hairy_Woodpecker_%28female%29.jpg,3 - fairly common,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/211302481/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Pileated Woodpecker,RUURRRR,https://upload.wikimedia.org/wikipedia/commons/1/12/PileatedWoodpeckerFeedingonTree%2C_crop.jpg,https://ebird.org/species/pilwoo,https://en.wikipedia.org/wiki/Pileated_woodpecker,https://www.allaboutbirds.org/guide/Pileated_Woodpecker/id,https://www.allaboutbirds.org/guide/assets/photo/32323421-1280px.jpg,https://ebird.org/species/pilwoo,,,,5 - rare,4 - uncommon,4 - uncommon,5 - rare,5 - rare,5 - rare,5 - rare,"<iframe width=""640"" height=""360"" src=""https://ebird.org/species/pilwoo/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Northern Flicker,RUCCCCF,,https://ebird.org/species/norfli,https://en.wikipedia.org/wiki/Northern_flicker,https://www.allaboutbirds.org/guide/Northern_Flicker/id,https://www.allaboutbirds.org/guide/assets/photo/183984281-1280px.jpg,https://macaulaylibrary.org/asset/94346,,https://upload.wikimedia.org/wikipedia/commons/0/02/NorthernFlicker-male.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/Northern_Flicker.jpg,5 - rare,4 - uncommon,2 - common,2 - common,2 - common,2 - common,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/94346/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
American Kestrel,FFFFFFF,,https://ebird.org/species/amekes,https://en.wikipedia.org/wiki/American_kestrel,https://www.allaboutbirds.org/guide/American_Kestrel/id,https://www.allaboutbirds.org/guide/assets/photo/31919181-1280px.jpg,https://macaulaylibrary.org/asset/133146,,https://upload.wikimedia.org/wikipedia/commons/7/73/AmericanKestrel02.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Female_American_Kestrel.jpg,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/133146/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Merlin,XRX--RU,https://upload.wikimedia.org/wikipedia/commons/9/9e/Merlin_prey_fencepost_Cochrane_cropped.jpg,https://ebird.org/species/merlin,https://en.wikipedia.org/wiki/Merlin_(bird),https://www.allaboutbirds.org/guide/merlin/id,https://www.allaboutbirds.org/guide/assets/photo/31503671-1280px.jpg,https://macaulaylibrary.org/asset/4408,,,,6 - extremely rare,5 - rare,6 - extremely rare,,,5 - rare,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/4408/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Peregrine Falcon,XRRXXRU,https://upload.wikimedia.org/wikipedia/commons/9/9a/Falco_peregrinus_good_-_Christopher_Watson.jpg,https://ebird.org/species/perfal,https://en.wikipedia.org/wiki/Peregrine_falcon,https://www.allaboutbirds.org/guide/Peregrine_Falcon/id,https://www.allaboutbirds.org/guide/assets/photo/31920761-1280px.jpg,https://macaulaylibrary.org/asset/16935,,,,6 - extremely rare,5 - rare,5 - rare,6 - extremely rare,6 - extremely rare,5 - rare,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/16935/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Monk Parakeet,RRRRRRR,https://upload.wikimedia.org/wikipedia/commons/5/5c/Monk_Parakeet_%28Myiopsitta_monachus%29_%2828420470712%29.jpg,https://ebird.org/species/monpar,https://en.wikipedia.org/wiki/Monk_parakeet,https://www.allaboutbirds.org/guide/Monk_Parakeet/overview,https://www.allaboutbirds.org/guide/assets/photo/41327091-1280px.jpg,https://macaulaylibrary.org/asset/34861,,,,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/34861/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Olive-sided Flycatcher,--U-XU-,https://upload.wikimedia.org/wikipedia/commons/8/86/Olive-sided_Flycatcher.jpg,https://ebird.org/species/olsfly,https://en.wikipedia.org/wiki/Olive-sided_flycatcher,https://www.allaboutbirds.org/guide/Olive-sided_Flycatcher/id,https://www.allaboutbirds.org/guide/assets/photo/39455181-1280px.jpg,https://macaulaylibrary.org/asset/42268,,,,,,4 - uncommon,,6 - extremely rare,4 - uncommon,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/42268/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Eastern Wood-Pewee,--FFFF-,https://upload.wikimedia.org/wikipedia/commons/3/3b/Eastern_Peewee-Yucat%C3%A1n.jpg,https://ebird.org/species/eawpew,https://en.wikipedia.org/wiki/Eastern_wood_pewee,https://www.allaboutbirds.org/guide/Eastern_Wood-Pewee/id,https://www.allaboutbirds.org/guide/assets/photo/76723041-1280px.jpg,https://macaulaylibrary.org/asset/61838,,,,,,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/61838/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Yellow-bellied Flycatcher,--U--R-,https://upload.wikimedia.org/wikipedia/commons/b/bc/Yellow-bellied_Flycatcher_-_Empidonax_flaviventris.jpg,https://ebird.org/species/yebfly/,https://en.wikipedia.org/wiki/Yellow-bellied_flycatcher,https://www.allaboutbirds.org/guide/Yellow-bellied_Flycatcher/id,https://www.allaboutbirds.org/guide/assets/photo/32007981-1280px.jpg,https://macaulaylibrary.org/asset/100881,,,,,,4 - uncommon,,,5 - rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/100881/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Acadian Flycatcher,--RRXX-,https://upload.wikimedia.org/wikipedia/commons/2/21/Acadian_Flycatcher.jpg,https://ebird.org/species/acafly,https://en.wikipedia.org/wiki/Acadian_flycatcher,https://www.allaboutbirds.org/guide/Acadian_Flycatcher/id,https://www.allaboutbirds.org/guide/assets/photo/73623811-1280px.jpg,https://www.allaboutbirds.org/guide/assets/photo/73623811-1280px.jpg,,,,,,5 - rare,5 - rare,6 - extremely rare,6 - extremely rare,,"<iframe width=""640"" height=""360"" src=""https://www.allaboutbirds.org/guide/assets/photo/73623811-1280px.jpg/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Alder Flycatcher,--UX---,https://upload.wikimedia.org/wikipedia/commons/0/00/Empidonax_alnorum_CT2.jpg,https://ebird.org/species/aldfly,https://en.wikipedia.org/wiki/Alder_flycatcher,https://www.allaboutbirds.org/guide/Alder_Flycatcher/id,https://www.allaboutbirds.org/guide/assets/photo/31949201-1280px.jpg,https://macaulaylibrary.org/asset/132248,,,,,,4 - uncommon,6 - extremely rare,,,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/132248/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Willow Flycatcher,--FFUU-,https://upload.wikimedia.org/wikipedia/commons/0/00/Southwestern_Willow_Flycatcher.jpg,https://ebird.org/species/wilfly/,https://en.wikipedia.org/wiki/Willow_flycatcher,https://www.allaboutbirds.org/guide/Willow_Flycatcher/id,https://www.allaboutbirds.org/guide/assets/photo/32009161-1280px.jpg,https://macaulaylibrary.org/asset/84843,,,,,,3 - fairly common,3 - fairly common,4 - uncommon,4 - uncommon,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/84843/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Least Flycatcher,--FX-U-,https://upload.wikimedia.org/wikipedia/commons/4/46/Empidonax-minimus-001.jpg,https://ebird.org/species/leafly,https://en.wikipedia.org/wiki/Least_flycatcher,https://www.allaboutbirds.org/guide/Least_Flycatcher/id,https://www.allaboutbirds.org/guide/assets/photo/32315311-1280px.jpg,https://macaulaylibrary.org/asset/100845,,,,,,3 - fairly common,6 - extremely rare,,4 - uncommon,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/100845/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Eastern Phoebe,XCFUUFU,https://upload.wikimedia.org/wikipedia/commons/d/d0/Sayornis_phoebe_-Owen_Conservation_Park%2C_Madison%2C_Wisconsin%2C_USA-8.jpg,https://ebird.org/species/easpho/,https://en.wikipedia.org/wiki/Eastern_phoebe,https://www.allaboutbirds.org/guide/Eastern_Phoebe/id,https://www.allaboutbirds.org/guide/assets/photo/32267901-1280px.jpg,https://macaulaylibrary.org/asset/61884,,,,6 - extremely rare,2 - common,3 - fairly common,4 - uncommon,4 - uncommon,3 - fairly common,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/61884/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Great Crested Flycatcher,--CFFU-,https://upload.wikimedia.org/wikipedia/commons/0/02/Great_Crested_Flycatcher_RWD2.jpg,https://ebird.org/species/grcfly,https://en.wikipedia.org/wiki/Great_crested_flycatcher,https://www.allaboutbirds.org/guide/Great_Crested_Flycatcher/id,https://www.allaboutbirds.org/guide/assets/photo/31754361-1280px.jpg,https://macaulaylibrary.org/asset/7700,,,,,,2 - common,3 - fairly common,3 - fairly common,4 - uncommon,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/7700/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Eastern Kingbird,--CCCU-,https://upload.wikimedia.org/wikipedia/commons/0/02/Tyrannus-tyrannus-001.jpg,https://ebird.org/species/easkin,https://en.wikipedia.org/wiki/Eastern_kingbird,https://www.allaboutbirds.org/guide/Eastern_Kingbird/id,https://www.allaboutbirds.org/guide/assets/photo/85147211-1280px.jpg,https://macaulaylibrary.org/asset/50238,,,,,,2 - common,2 - common,2 - common,4 - uncommon,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/50238/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
