bird,abundance,img,ebird,wikipedia,allaboutbirds,migration,recording,tags,male,female,winter,early spring,late spring,summer,post breeding,early fall,late fall,recording_embed_link
Common Merganser,UFU---U,https://upload.wikimedia.org/wikipedia/commons/b/be/Mergus_merganser_-Sandwell_-England_-male-8.jpg,https://ebird.org/species/commer,https://en.wikipedia.org/wiki/Common_merganser,https://www.allaboutbirds.org/guide/Common_merganser/overview,https://www.allaboutbirds.org/guide/assets/photo/32260311-1280px.jpg,https://macaulaylibrary.org/asset/208071711,,,,4 - uncommon,3 - fairly common,4 - uncommon,,,,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/208071711/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Red-breasted Merganser,XUR---R,https://upload.wikimedia.org/wikipedia/commons/6/65/Mergus_serrator_-New_Jersey_-USA_-winter-8.jpg,https://ebird.org/species/rebmer,https://en.wikipedia.org/wiki/Red-breasted_merganser,https://www.allaboutbirds.org/guide/Red-breasted_Merganser/overview,https://www.allaboutbirds.org/guide/assets/photo/31913981-1280px.jpg,https://macaulaylibrary.org/asset/245394441,,,,6 - extremely rare,4 - uncommon,5 - rare,,,,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/245394441/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Ruddy Duck,XFUXXUU,https://upload.wikimedia.org/wikipedia/commons/b/ba/Ruddy_Duck_%28Oxyura_jamaicensis%29_RWD2.jpg,https://ebird.org/species/rudduc,https://en.wikipedia.org/wiki/Ruddy_duck,https://www.allaboutbirds.org/guide/Ruddy_Duck/overview,https://www.allaboutbirds.org/guide/assets/photo/31947491-1280px.jpg,https://macaulaylibrary.org/asset/73924461,,,,6 - extremely rare,3 - fairly common,4 - uncommon,6 - extremely rare,6 - extremely rare,4 - uncommon,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/73924461/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Ring-necked Pheasant,RRRRRRR,https://upload.wikimedia.org/wikipedia/commons/d/d7/Phasianus_colchicus_2_tom_%28Lukasz_Lukasik%29.jpg,https://ebird.org/species/rinphe,https://en.wikipedia.org/wiki/Common_pheasant,https://www.allaboutbirds.org/guide/Ring-necked_Pheasant/overview,https://www.allaboutbirds.org/guide/assets/photo/38821761-1280px.jpg,https://macaulaylibrary.org/asset/105675,,,,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/105675/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Wild Turkey (released),RRRRRRR,https://upload.wikimedia.org/wikipedia/commons/5/50/Gall-dindi.jpg,https://ebird.org/species/wiltur,https://en.wikipedia.org/wiki/Wild_turkey,https://www.allaboutbirds.org/guide/wild_turkey/overview,https://www.allaboutbirds.org/guide/assets/photo/25003991-1280px.jpg,https://macaulaylibrary.org/asset/73964601,,,,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/73964601/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Pied-billed Grebe,XFFUUFU,https://upload.wikimedia.org/wikipedia/commons/8/8c/Podilymbus-podiceps-001.jpg,https://ebird.org/species/pibgre,https://en.wikipedia.org/wiki/Pied-billed_grebe,https://www.allaboutbirds.org/guide/Pied-billed_Grebe/overview,https://www.allaboutbirds.org/guide/assets/photo/31912921-1280px.jpg,https://macaulaylibrary.org/asset/131025131,,,,6 - extremely rare,3 - fairly common,3 - fairly common,4 - uncommon,4 - uncommon,3 - fairly common,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/131025131/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Horned Grebe,XUU---R,https://upload.wikimedia.org/wikipedia/commons/6/6e/Podiceps_auritus_oisillons.jpg,https://ebird.org/species/horgre,https://en.wikipedia.org/wiki/Horned_grebe,https://www.allaboutbirds.org/guide/Horned_Grebe/overview,https://www.allaboutbirds.org/guide/assets/photo/31916121-1280px.jpg,https://macaulaylibrary.org/asset/235479,,,,6 - extremely rare,4 - uncommon,4 - uncommon,,,,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/235479/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Eared Grebe,-XX----,https://upload.wikimedia.org/wikipedia/commons/1/10/Black-necked_Grebe_Schwarzhalstaucher.jpg,https://ebird.org/species/eargre,https://en.wikipedia.org/wiki/Black-necked_grebe,https://www.allaboutbirds.org/guide/Eared_Grebe/overview,https://www.allaboutbirds.org/guide/assets/photo/31913491-1280px.jpg,https://macaulaylibrary.org/asset/153837491,,,,,6 - extremely rare,6 - extremely rare,,,,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/153837491/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Rock Dove,CCCCCCC,https://upload.wikimedia.org/wikipedia/commons/5/56/Paloma_brav%C3%ADa_%28Columba_livia%29%2C_Palacio_de_Nymphenburg%2C_M%C3%BAnich%2C_Alemania01.JPG,https://ebird.org/species/rocpig,https://en.wikipedia.org/wiki/Rock_dove,https://www.allaboutbirds.org/guide/Rock_Pigeon/overview,https://www.allaboutbirds.org/guide/assets/photo/25015391-1280px.jpg,https://macaulaylibrary.org/asset/144324561,,,,2 - common,2 - common,2 - common,2 - common,2 - common,2 - common,2 - common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/144324561/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Eurasian Collared-Dove,-RRRRRR,https://upload.wikimedia.org/wikipedia/commons/0/0b/Eurasian_collared-dove_%28Streptopelia_decaocto%29.jpg,https://ebird.org/species/eucdov,https://en.wikipedia.org/wiki/Eurasian_collared_dove,https://www.allaboutbirds.org/guide/Eurasian_Collared-Dove/overview,https://www.allaboutbirds.org/guide/assets/photo/25024391-1280px.jpg,https://macaulaylibrary.org/asset/220258691,,,,,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/220258691/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
