bird,abundance,img,ebird,wikipedia,allaboutbirds,migration,recording,tags,male,female
Black-and-white Warbler,-RF-RF-,https://upload.wikimedia.org/wikipedia/commons/b/ba/Black-and-white_Warbler_2.jpg,https://ebird.org/species/bawwar,https://en.wikipedia.org/wiki/Black-and-white_warbler,https://www.allaboutbirds.org/guide/Black-and-white_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/31720651-1280px.jpg,https://macaulaylibrary.org/audio/73983,,,
Prothonotary Warbler,--RR-X-,,https://ebird.org/species/prowar,https://en.wikipedia.org/wiki/Prothonotary_warbler,https://www.allaboutbirds.org/guide/Prothonotary_Warbler/overview,https://www.allaboutbirds.org/guide/assets/photo/31912871-1280px.jpg,https://macaulaylibrary.org/audio/73882,,https://upload.wikimedia.org/wikipedia/commons/b/bb/Prothonotary_Warbler.jpg,https://upload.wikimedia.org/wikipedia/commons/5/55/Protonotaria-citrea-002_edit.jpg
Tennessee Warbler,--C--CU,,https://ebird.org/species/tenwar/,https://en.wikipedia.org/wiki/Tennessee_warbler,https://www.allaboutbirds.org/guide/Tennessee_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/31758081-1280px.jpg,https://macaulaylibrary.org/audio/10808,,https://upload.wikimedia.org/wikipedia/commons/0/0f/Tennessee_Warbler_2.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4f/Tennessee_Warbler_%2820318546674%29.jpg
Orange-crowned Warbler,--U--RU,https://upload.wikimedia.org/wikipedia/commons/b/bb/Orange-crowned_warbler1.jpg,https://ebird.org/species/orcwar/,https://en.wikipedia.org/wiki/Orange-crowned_warbler,https://www.allaboutbirds.org/guide/Orange-crowned_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/31505451-1280px.jpg,https://macaulaylibrary.org/asset/130985,,,
Nashville Warbler,--F--FR,https://upload.wikimedia.org/wikipedia/commons/8/86/Vermivora_ruficapilla_Winema_National_Forest_%28cropped%29.jpg,https://ebird.org/species/naswar/,https://en.wikipedia.org/wiki/Nashville_warbler,https://www.allaboutbirds.org/guide/Nashville_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/31721851-1280px.jpg,https://macaulaylibrary.org/audio/77092,,,
Connecticut Warbler,--U--RX,https://upload.wikimedia.org/wikipedia/commons/5/5f/Oporornis_agilis_Youghiogheny_River_MD.jpg,https://ebird.org/species/conwar/,https://en.wikipedia.org/wiki/Connecticut_warbler,https://www.allaboutbirds.org/guide/Connecticut_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/32262101-1280px.jpg,https://macaulaylibrary.org/audio/68953,,,
Mourning Warbler,--U--RX,https://upload.wikimedia.org/wikipedia/commons/f/f4/Oporornis_philadelphiaAAP100CB1.jpg,https://ebird.org/species/mouwar,https://en.wikipedia.org/wiki/Mourning_warbler,https://www.allaboutbirds.org/guide/Mourning_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/32321961-1280px.jpg,https://macaulaylibrary.org/audio/120463,,,
Kentucky Warbler,--RX---,https://upload.wikimedia.org/wikipedia/commons/f/fe/Oporornis_formosus_FWS.jpg,https://ebird.org/species/kenwar,https://en.wikipedia.org/wiki/Kentucky_warbler,https://www.allaboutbirds.org/guide/Kentucky_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/32314091-1280px.jpg,https://macaulaylibrary.org/audio/73967,,,
Common Yellowthroat,X-CCFFR,,https://ebird.org/species/comyel,https://en.wikipedia.org/wiki/Common_yellowthroat,https://www.allaboutbirds.org/guide/Common_Yellowthroat/id,https://www.allaboutbirds.org/guide/assets/photo/32261881-1280px.jpg,https://macaulaylibrary.org/audio/118601,,https://upload.wikimedia.org/wikipedia/commons/d/d8/Common_Yellowthroat_by_Dan_Pancamo.jpg,https://upload.wikimedia.org/wikipedia/commons/5/57/Female_Common_Yellowthroat.jpg
Hooded Warbler,--RR-X-,https://upload.wikimedia.org/wikipedia/commons/d/db/Hooded_Warbler.jpg,https://ebird.org/species/hoowar,https://en.wikipedia.org/wiki/Hooded_warbler,https://www.allaboutbirds.org/guide/Hooded_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/31505711-1280px.jpg,https://macaulaylibrary.org/audio/26271,,,
American Redstart,X-CRRC-,,https://ebird.org/species/amered,https://en.wikipedia.org/wiki/American_redstart,https://www.allaboutbirds.org/guide/American_Redstart/id,https://www.allaboutbirds.org/guide/assets/photo/31751791-1280px.jpg,https://macaulaylibrary.org/audio/50309,,https://upload.wikimedia.org/wikipedia/commons/c/cd/Setophaga_ruticilla_-Chiquimula%2C_Guatemala_-male-8-4c.jpg,https://upload.wikimedia.org/wikipedia/commons/7/72/Setophaga_ruticilla_%28femelle%29.jpg
Cape May Warbler,--U-XU-,,https://ebird.org/species/camwar,https://en.wikipedia.org/wiki/Cape_May_warbler,https://www.allaboutbirds.org/guide/Cape_May_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/31755601-1280px.jpg,https://macaulaylibrary.org/asset/42457,,https://upload.wikimedia.org/wikipedia/commons/a/a1/Dendroica_tigrina_FWS.jpg,https://upload.wikimedia.org/wikipedia/commons/e/eb/Cape_May_Warbler_RWD3.jpg
Cerulean Warbler,--R--X-,https://upload.wikimedia.org/wikipedia/commons/f/f3/Dendroica-cerulea-002.jpg,https://ebird.org/species/cerwar,https://en.wikipedia.org/wiki/Cerulean_warbler,https://www.allaboutbirds.org/guide/Cerulean_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/31916451-1280px.jpg,https://macaulaylibrary.org/audio/113505,,,
Northern Parula,--UR-U-,https://upload.wikimedia.org/wikipedia/commons/6/6f/Northern_Parula_by_Dan_Pancamo.jpg,https://ebird.org/species/norpar,https://en.wikipedia.org/wiki/Northern_parula,https://www.allaboutbirds.org/guide/Northern_Parula/id,https://www.allaboutbirds.org/guide/assets/photo/31722231-1280px.jpg,https://macaulaylibrary.org/audio/73928,,,
Magnolia Warbler,--F--FR,https://upload.wikimedia.org/wikipedia/commons/7/72/Dendroica_magnolia_MN.jpg,https://ebird.org/species/magwar,https://en.wikipedia.org/wiki/Magnolia_warbler,https://www.allaboutbirds.org/guide/Magnolia_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/31506251-1280px.jpg,https://macaulaylibrary.org/audio/107370,,,
Bay-breasted Warbler,--F--F-,https://upload.wikimedia.org/wikipedia/commons/a/af/Dendroica-castanea-001.jpg,https://ebird.org/species/babwar/,https://en.wikipedia.org/wiki/Bay-breasted_warbler,https://www.allaboutbirds.org/guide/Bay-breasted_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/31721991-1280px.jpg,https://macaulaylibrary.org/audio/42700,,,
